cell,child_canon,child_t1_floored,child_t1_raw,outcome,parent_canon,parent_t1_floored,parent_t1_raw,step
connection/3/1,8add25d82dc2839457c907ec3c1d76a501ae406c06636bbfbe89f8205d3ee02c,0.0625,0.0625,t1_invalid_draw_majority,fd130af745a96a78b2196ab1acc51613f44703c821fd98768e074ebbc35982b0,0.5,0.5,58
elimination/0/0,af508a667eb9465a72316fa1f007db0a991f834f0099745da8e4b2a491c6a870,0.0,0.0,t1_invalid_too_short,21e02e73648b3c47160f7b6a49e1bcbfc163af40f53ad6726ea14267f19320d0,0.41666666666666663,0.41666666666666663,59
connection/0/0,b25e1d966fbd46e72e1b023decbc496e7d91d687879c2e8126e221413c5e3d5e,0.0,0.0,t1_invalid_draw_majority,594051c7ba8a8ba16c0492aa4a782146b96e7ae637b2979ee5fd405ab37930ec,0.22916666666666663,0.22916666666666663,60
territory/4/2,843c7a57a97505e4ed83c7c267dbe270ab21c137460d6d9738f28c848edf8338,0.45833333333333337,0.45833333333333337,lost_first_batch,af20a5d893042a1b54586b9b3402aac515da6134b7b33b29cd9b79c54b23d9a3,0.5,0.5,61
territory/2/1,51ca26def9637e4b176be1c9b4043d5756506bc9caa0c28b430441f010490d67,0.45833333333333337,0.45833333333333337,invalid_draw_majority,21e02e73648b3c47160f7b6a49e1bcbfc163af40f53ad6726ea14267f19320d0,0.41666666666666663,0.41666666666666663,62
elimination/0/0,c58ab7f6314f9acf9caf05d5b1f50400832eb33a89f584f44e315a21c87d184f,0.0,0.0,t1_invalid_too_short,f6d9a822ddf2a52fcca714adb2e422aea31de052a0b96c574cfc60ce24667364,0.41666666666666663,0.41666666666666663,63
connection/4/0,a900708178371f34eb6e576aa0f31dd173ebd8263a57b60f9d8bbf651b89e723,0.33333333333333337,0.33333333333333337,invalid_draw_majority,b461c5160c5ed04233dd29faf1100243fd2f73c0799f0650f2fcdae5d56e69cb,0.5,0.5,64
connection/3/1,8159b809463d588734567bacf92f8cf0ac33af428cf989f33dbb52dc930eb489,0.1875,0.1875,invalid_draw_majority,eb87eae703d22a7d7443c6423df48d6fd18695352f45d8982af273df9ef13fb6,0.45833333333333337,0.45833333333333337,65
connection/1/3,1f9026c766871bec99709a2eaea4205e75a3e95dda50d6a3591678cc0c3ce45f,0.0,-0.125,lost_first_batch,594051c7ba8a8ba16c0492aa4a782146b96e7ae637b2979ee5fd405ab37930ec,0.22916666666666663,0.22916666666666663,66
territory/4/3,39021438220d72f0bd71f0b6776f1db03f519a78eeb1512b0c2c37c30b8eb0c0,0.4375,0.4375,replaced,7e9d7eb3a5e2394e45fee42b25295d367c9ff6c5763fe5399cd4cd1606351928,0.45833333333333337,0.45833333333333337,67
territory/0/0,192c24663c2af4eecb702c989a26a5855c321a00371f73e8674c7f09a7ac0af3,0.0,0.0,t1_invalid_draw_majority,21e02e73648b3c47160f7b6a49e1bcbfc163af40f53ad6726ea14267f19320d0,0.41666666666666663,0.41666666666666663,68
connection/2/2,cdeb25c191aff1186188d73d0bd7223997bcbb026b2f28e6bbc5ffa28bc02e1e,0.02083333333333337,0.02083333333333337,t1_invalid_draw_majority,866574be004e6346eab9248d64cc5a10198ef3bb913887feffe7380e1184de5e,0.29166666666666663,0.29166666666666663,69
territory/3/0,3c808bffee73a38e757e0c7b06d841ee8a71bfdafce6ba11b1a91c6c636d123e,0.20833333333333337,0.20833333333333337,t1_invalid_draw_majority,af20a5d893042a1b54586b9b3402aac515da6134b7b33b29cd9b79c54b23d9a3,0.5,0.5,70
connection/3/2,0f399469cc21cc00ab4ca980e5619c67c71c1921b2f2448f94be0c3b809d8448,0.375,0.375,lost_first_batch,eb87eae703d22a7d7443c6423df48d6fd18695352f45d8982af273df9ef13fb6,0.45833333333333337,0.45833333333333337,71
territory/4/1,50d7b7ac898fd1612b52f933753d00fedc840cf344af9b67cc5cd68e8666e31d,0.5,0.5,lost_first_batch,db19267ac6aeb9ac341e6303a34133411fe54f3cf0105335d760cc5722672a4a,0.45833333333333337,0.45833333333333337,72
connection/4/3,3f52c76a630f0f06a17c8c40ca3f6e31aa454169985b8b21f8441d7f04cee033,0.16666666666666663,0.16666666666666663,t1_invalid_draw_majority,594051c7ba8a8ba16c0492aa4a782146b96e7ae637b2979ee5fd405ab37930ec,0.22916666666666663,0.22916666666666663,73
territory/3/1,d3cb855ab746f3bd6793919421c49a379f480293c300713a1c55b07091b27e0a,0.0,0.0,t1_invalid_draw_majority,f6d9a822ddf2a52fcca714adb2e422aea31de052a0b96c574cfc60ce24667364,0.41666666666666663,0.41666666666666663,74
elimination/0/0,b2b6917e7a3bd529601dfeedfa4f4860835ff3135a0ef93aad3a48f7c1265030,0.0,0.0,t1_invalid_too_short,5b387b192e6d5dc5fb247d9bb915b66fd6f513dc1a6c6275fadc72099cca5380,0.47916666666666663,0.47916666666666663,75
connection/3/1,2e656c09bf14b1a6622dd10983abaa142cb6ed907a4108501606dc34f0dee50a,0.125,0.125,lost_first_batch,5e7b8899abde1216f8bf8b34bb3b5281b1b85985e52f7f4e488599fce875c012,0.5,0.5,76
