section,arm,canon,family,cell,pooled_drama,pooled_n,interaction,length,valid,outcome
final_elite,M,6a2bb5aa9554e831,threshold,3/2,0.066810,250,,,,
final_elite,M,6f73bb46550f428a,threshold,4/1,0.164225,250,,,,
final_elite,M,8ceca1e0778690e8,threshold,4/2,0.118926,250,,,,
final_elite,M,4ee5d44db6f6cfef,threshold,4/3,0.185829,250,,,,
final_elite,M,b828ad17569c7e17,threshold,4/4,0.070253,150,,,,
final_elite,R,64c7353cb8c7c5a8,connection,0/1,0.043054,150,,,,
final_elite,R,fba76594cb7e58ce,connection,1/1,0.077617,100,,,,
final_elite,R,60d93cfb4df57cf0,connection,1/2,0.067567,250,,,,
final_elite,R,9f1bce08de775d31,connection,2/1,0.077582,250,,,,
final_elite,R,ef8f08e4b47f0cb0,connection,2/2,0.074703,250,,,,
final_elite,R,0a82b1df7cdc1710,connection,3/1,0.084447,250,,,,
final_elite,R,0b70b52c774008c3,connection,3/2,0.154214,250,,,,
final_elite,R,8c7273073465727e,connection,3/3,0.111600,250,,,,
final_elite,R,0a463e78fe734886,connection,4/1,0.168574,250,,,,
final_elite,R,12b129afc581698c,connection,4/2,0.141968,250,,,,
final_elite,R,6619e90b4de28f04,connection,4/3,0.118071,250,,,,
final_elite,R,0b8ea43ed659038e,territory,1/1,0.210141,100,,,,
final_elite,R,05652fbe4ca68bf4,territory,1/2,0.190636,250,,,,
final_elite,R,e9fd123ef097cac9,territory,2/1,0.186088,200,,,,
final_elite,R,52584691b6d640f8,territory,2/2,0.206516,200,,,,
final_elite,R,570b5bea3e415af6,territory,3/1,0.182365,250,,,,
final_elite,R,3468469d72ea7734,territory,3/2,0.221146,250,,,,
final_elite,R,fe33aaeb64037fa8,territory,3/3,0.208499,250,,,,
final_elite,R,fa3e2d7c06adc04e,territory,4/1,0.161298,250,,,,
final_elite,R,0e080ea1679f0246,territory,4/2,0.267617,250,,,,
final_elite,R,9ec64ce8319745e9,territory,4/3,0.206523,250,,,,
final_elite,R,31b071f342806f8a,territory,4/4,0.174509,250,,,,
final_elite,R,0ba4af2779fcf48e,threshold,1/1,0.032311,250,,,,
final_elite,R,6b5c2b4301134a50,threshold,2/0,0.048599,250,,,,
final_elite,R,611024aefcfc73b6,threshold,2/1,0.065189,250,,,,
final_elite,R,c9a6a722d9c95d5d,threshold,3/1,0.073548,250,,,,
final_elite,R,6a2bb5aa9554e831,threshold,3/2,0.066810,250,,,,
final_elite,R,2b7a8094cdeadfdd,threshold,4/0,0.082708,200,,,,
final_elite,R,6f73bb46550f428a,threshold,4/1,0.164225,250,,,,
final_elite,R,5c37f36d02fd4012,threshold,4/2,0.138687,250,,,,
final_elite,R,979b073df426d001,threshold,4/3,0.168217,250,,,,
final_elite,R,5768de55da976c82,threshold,4/4,0.045651,200,,,,
